"","Q13C","Q18AA","Q18AB","Q20","Q21","Q22","Q23A","Q23B","Q23C","Q23D","Q24","Q25","Q26","Q27","Q29","Q29A","Education","AgeCat","PoliticalPartyAffiliation","Income","PoliticsGeneral","Married"
"884",NA,"Very important","Very important","Support","The insurance company (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","45-54","Republican","$75,000 to less than $90,000","Conservative","Never been married"
"885",NA,"Not too important","Very important","Oppose","The woman herself (or)","Very important","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Now oppose","High school graduate (Grade 12 with diploma or GED certificate)","65+","Republican","$20,000 to less than $30,000","Conservative","Widowed"
"886","Yes, the law does this","Very important","Very important","Support","The insurance company (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","55-64","Indep/Don't lean","$100,000 or more","Moderate","Married"
"887","Yes, the law does this","Not at all important","Very important","Oppose","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Oppose",NA,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","55-64","Indep lean Rep","$100,000 or more","Moderate","Married"
"888",NA,"Somewhat important","Very important","Oppose","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Indep/Don't lean","$100,000 or more","Conservative","Married"
"889",NA,"Very important","Very important","Support","The woman herself (or)","Very important","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","(DO NOT READ) Refused",NA,NA,"Support","Still support","Less than high school (Grades 1-8 or no formal schooling)","55-64","Indep/Don't lean","Less than $20,000","Conservative","Divorced"
"890",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","Two year associate degree from a college or university","25-34","Indep lean Dem","Less than $20,000","Moderate","Living with a partner"
"891","(DO NOT READ) Don't know","Somewhat important","Very important","Support","The insurance company (or)","Somewhat important","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","High school graduate (Grade 12 with diploma or GED certificate)","18-24","Indep/Don't lean","$20,000 to less than $30,000","Moderate","Never been married"
"892",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","25-34","Democrat","Less than $20,000","Liberal","Living with a partner"
"893","Yes, the law does this","Not too important","Very important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","(DO NOT READ) Don't know","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Still support","High school incomplete (Grades 9-11 or Grade 12 with no diploma)","55-64","Democrat","$40,000 to less than $50,000","Liberal","Married"
"894",NA,"Somewhat important","Very important","Support","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Now want to keep payments to Planned Parenthood for non-abortion services",NA,"Support","Now oppose","High school graduate (Grade 12 with diploma or GED certificate)","18-24","Indep/Don't lean","Less than $20,000","Liberal","Living with a partner"
"895",NA,"Not too important","Very important","Support","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Democrat","$75,000 to less than $90,000","Liberal","Married"
"896",NA,"Very important","Very important","Support","The insurance company (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","35-44","Democrat","$100,000 or more","Liberal","Married"
"897",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","35-44","Democrat","$100,000 or more","Liberal","Married"
"898",NA,"Not too important","Very important","Support","The woman herself (or)","Not too important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Two year associate degree from a college or university","35-44","Republican","$100,000 or more","Moderate","Never been married"
"899","No, law does not do this","Somewhat important","Very important","Oppose","The woman herself (or)","Somewhat important","(DO NOT READ) Don't know","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","(DO NOT READ) Don't know","(DO NOT READ) Don't know",NA,NA,"Support","Now oppose","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","55-64","Indep lean Dem","(DO NOT READ) Don't know/Refused","Liberal","Married"
"900","Yes, the law does this","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","35-44","Democrat","$100,000 or more","Liberal","Never been married"
"901",NA,"Somewhat important","Very important","Oppose","The insurance company (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Two year associate degree from a college or university","35-44","Democrat","$50,000 to less than $75,000","Conservative","Divorced"
"902",NA,"Very important","Very important","Support","The insurance company (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Indep lean Dem","$50,000 to less than $75,000","Conservative","Never been married"
"903",NA,"Somewhat important","Very important","Support","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","25-34","Republican","$30,000 to less than $40,000","Moderate","Never been married"
"904",NA,"Very important","Very important","Support","The insurance company (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","(DO NOT READ) Pay Planned Parenthood for abortion services too (vol.)",NA,NA,"Support","Now oppose","High school graduate (Grade 12 with diploma or GED certificate)","18-24","Indep lean Dem","$20,000 to less than $30,000","Conservative","Married"
"905",NA,"Very important","Very important","Support","The insurance company (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Oppose",NA,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","45-54","Indep lean Dem","$75,000 to less than $90,000","Moderate","Divorced"
"906",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","25-34","Democrat","$50,000 to less than $75,000","Moderate","Never been married"
"907",NA,"Not too important","Very important","Oppose","The woman herself (or)","Not too important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Republican","$100,000 or more","Moderate","Married"
"908","No, law does not do this","Very important","Very important","Support","The government (or)","Very important","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","65+","Democrat","$100,000 or more","Conservative","Married"
"909","No, law does not do this","Not at all important","Very important","Oppose","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","35-44","Indep lean Rep","$100,000 or more","Moderate","Married"
"910","Yes, the law does this","Not too important","Somewhat important","Oppose","The woman herself (or)","Not too important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Oppose",NA,"Some college, no degree (includes some community college)","35-44","Indep/Don't lean","Less than $20,000","Moderate","Divorced"
"911","Yes, the law does this","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","45-54","Democrat","$100,000 or more","Liberal","Married"
"912","No, law does not do this","Somewhat important","Very important","Support","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","55-64","Democrat","$100,000 or more","Liberal","Married"
"913","No, law does not do this","Not too important","Very important","Oppose","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","35-44","Indep lean Rep","$75,000 to less than $90,000","Moderate","Married"
"914","No, law does not do this","Very important","Very important","Support","The government (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","45-54","Indep/Don't lean","$50,000 to less than $75,000","Moderate","Living with a partner"
"915",NA,"Somewhat important","Very important","Oppose","The government (or)","Somewhat important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","Less than high school (Grades 1-8 or no formal schooling)","35-44","Democrat","$20,000 to less than $30,000","Conservative","Living with a partner"
"916","(DO NOT READ) Don't know","Not too important","Very important","Oppose","The woman herself (or)","Not too important","(DO NOT READ) Don't know","(DO NOT READ) Don't know","(DO NOT READ) Don't know","(DO NOT READ) Don't know","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","High school graduate (Grade 12 with diploma or GED certificate)","65+","Republican","Less than $20,000","Moderate","Married"
"917",NA,"Very important","Very important","Support","(DO NOT READ) Don't know","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"(DO NOT READ) Don't know","Support","Still support","Some college, no degree (includes some community college)","35-44","Republican","$40,000 to less than $50,000","Moderate","Married"
"918","Yes, the law does this","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","25-34","Democrat","Less than $20,000","Liberal","Never been married"
"919",NA,"Not at all important","Very important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","35-44","Indep lean Rep","$75,000 to less than $90,000","Moderate","Married"
"920","Yes, the law does this","Very important","Very important","Support","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","45-54","Indep lean Dem","$50,000 to less than $75,000","Moderate","Divorced"
"921",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Still support","Two year associate degree from a college or university","35-44","Democrat","$30,000 to less than $40,000","Conservative","Divorced"
"922",NA,"Not at all important","Very important","Oppose","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Now oppose","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Republican","$100,000 or more","Conservative","Married"
"923",NA,"Not at all important","Very important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Republican","$75,000 to less than $90,000","Conservative","Married"
"924","(DO NOT READ) Don't know","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","55-64","Democrat","$30,000 to less than $40,000","Liberal","Divorced"
"925","Yes, the law does this","Not at all important","Not at all important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Now oppose","High school graduate (Grade 12 with diploma or GED certificate)","55-64","Republican","$100,000 or more","Conservative","Married"
"926","No, law does not do this","Not too important","Somewhat important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","55-64","Indep lean Rep","$40,000 to less than $50,000","Conservative","Living with a partner"
"927",NA,"Somewhat important","Very important","Support","The insurance company (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school incomplete (Grades 9-11 or Grade 12 with no diploma)","18-24","Democrat","Less than $20,000","Moderate","Never been married"
"928","No, law does not do this","Very important","Very important","Support","The government (or)","Very important","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","25-34","Indep/Don't lean","Less than $20,000","Liberal","Never been married"
"929",NA,"Not at all important","Not at all important","Support","The woman herself (or)","Not too important","(DO NOT READ) Don't know","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","(DO NOT READ) Don't know","(DO NOT READ) Don't know","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Now oppose","High school incomplete (Grades 9-11 or Grade 12 with no diploma)","65+","Republican","Less than $20,000","Moderate","Widowed"
"930",NA,"Not at all important","Very important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","(DO NOT READ) Don't know","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Now oppose","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Indep lean Rep","$40,000 to less than $50,000","Conservative","Married"
"931","No, law does not do this","Very important","Very important","Support","The insurance company (or)","Very important","(DO NOT READ) Don't know","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","High school graduate (Grade 12 with diploma or GED certificate)","65+","Indep lean Dem","$20,000 to less than $30,000","Conservative","Divorced"
"932",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","55-64","Indep lean Dem","$20,000 to less than $30,000","Liberal","Divorced"
"933","No, law does not do this","Very important","Very important","Support","The insurance company (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","18-24","Democrat","$100,000 or more","Conservative","Never been married"
"934",NA,"Not at all important","Very important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Still support","Two year associate degree from a college or university","55-64","Republican","(DO NOT READ) Don't know/Refused","Conservative","Married"
"935","(DO NOT READ) Don't know","Very important","Very important","Support","The insurance company (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","55-64","Democrat","Less than $20,000","Liberal","Divorced"
"936",NA,"Somewhat important","Very important","Support","The insurance company (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","35-44","Indep lean Dem","$100,000 or more","Moderate","Married"
"937","No, law does not do this","Not at all important","Not too important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Oppose",NA,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","65+","Indep lean Rep","$100,000 or more","Conservative","Married"
"938","Yes, the law does this","Very important","Very important","Support","The insurance company (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","55-64","Democrat","Less than $20,000","Liberal","Married"
"939",NA,"Very important","Very important","Support","The woman herself (or)","Somewhat important","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","(DO NOT READ) Don't know","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","25-34","Indep/Don't lean","$30,000 to less than $40,000","Moderate","Married"
"940",NA,"Very important","Very important","Support","The government (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some postgraduate or professional school, no postgraduate degree","65+","Democrat","$90,000 to less than $100,000","Moderate","Divorced"
